name,id,search_pattern
Ziad Aboultaif,89156,ziad-aboultaif(89156)
Scott Aitchison,105340,scott-aitchison(105340)
Dan Albas,72029,dan-albas(72029)
Omar Alghabra,89535,omar-alghabra(89535)
Shafqat Ali,110339,shafqat-ali(110339)
Dean Allison,25446,dean-allison(25446)
Anita Anand,96081,anita-anand(96081)
Gary Anandasangaree,89449,gary-anandasangaree(89449)
Charlie Angus,25470,charlie-angus(25470)
Mel Arnold,89294,mel-arnold(89294)
Rene Arseneault,89383,rene-arseneault(89383)
Chandra Arya,88860,chandra-arya(88860)
Niki Ashton,36037,niki-ashton(36037)
Jenica Atwin,104586,jenica-atwin(104586)
Taylor Bachrach,105854,taylor-bachrach(105854)
Vance Badawey,88867,vance-badawey(88867)
Parm Bains,111067,parm-bains(111067)
Yvan Baker,105121,yvan-baker(105121)
Tony Baldinelli,30330,tony-baldinelli(30330)
John Barlow,86261,john-barlow(86261)
Michael Barrett,102275,michael-barrett(102275)
Lisa Marie Barron,111023,lisa-marie-barron(111023)
Xavier Barsalou Duval,88422,xavier-barsalou-duval(88422)
Jaime Battiste,104571,jaime-battiste(104571)
Mario Beaulieu,376,mario-beaulieu(376)
Terry Beech,89236,terry-beech(89236)
Rachel Bendayan,88567,rachel-bendayan(88567)
Stephane Bergeron,496,stephane-bergeron(496)
Luc Berthold,88541,luc-berthold(88541)
Sylvie Berube,104622,sylvie-berube(104622)
James Bezan,25475,james-bezan(25475)
Marie Claude Bibeau,88449,marie-claude-bibeau(88449)
Chris Bittle,88934,chris-bittle(88934)
Bill Blair,88961,bill-blair(88961)
Yves Francois Blanchet,104669,yves-francois-blanchet(104669)
Maxime Blanchette Joncas,104705,maxime-blanchette-joncas(104705)
Rachel Blaney,89354,rachel-blaney(89354)
Kelly Block,59156,kelly-block(59156)
Kody Blois,104555,kody-blois(104555)
Randy Boissonnault,89147,randy-boissonnault(89147)
Alexandre Boulerice,58775,alexandre-boulerice(58775)
Valerie Bradford,110487,valerie-bradford(110487)
Richard Bragdon,88369,richard-bragdon(88369)
John Brassard,88674,john-brassard(88674)
Elisabeth Briere,104977,elisabeth-briere(104977)
Larry Brock,110354,larry-brock(110354)
Alexis Brunelle Duceppe,104786,alexis-brunelle-duceppe(104786)
Blaine Calkins,35897,blaine-calkins(35897)
Richard Cannings,89327,richard-cannings(89327)
Frank Caputo,111007,frank-caputo(111007)
Ben Carr,115744,ben-carr(115744)
Colin Carrie,25486,colin-carrie(25486)
Sean Casey,71270,sean-casey(71270)
Louise Chabot,104678,louise-chabot(104678)
Bardish Chagger,89000,bardish-chagger(89000)
George Chahal,110882,george-chahal(110882)
Adam Chambers,110649,adam-chambers(110649)
Francois Philippe Champagne,88633,francois-philippe-champagne(88633)
Martin Champoux,104741,martin-champoux(104741)
Sophie Chatel,110225,sophie-chatel(110225)
Shaun Chen,88953,shaun-chen(88953)
Paul Chiang,110513,paul-chiang(110513)
Michael D Chong,25488,michael-d-chong(25488)
Chad Collins,110438,chad-collins(110438)
Laurel Collins,105908,laurel-collins(105908)
Michael Cooper,89219,michael-cooper(89219)
Serge Cormier,88350,serge-cormier(88350)
Michael Coteau,110373,michael-coteau(110373)
Chris Dentremont,49344,chris-dentremont(49344)
Julie Dabrusin,88994,julie-dabrusin(88994)
Marc Dalton,35909,marc-dalton(35909)
Pam Damoff,88884,pam-damoff(88884)
Leila Dance,119993,leila-dance(119993)
Raquel Dancho,105521,raquel-dancho(105521)
Scot Davidson,102653,scot-davidson(102653)
Don Davies,59325,don-davies(59325)
